Year,Health Zone of Residence,Quarter,Month,Year/Month,Drug Type,Manner of Death,Sex,Frequency,"Rate per 100,000 population (annualized for quarterly data)",Percent,Living Situation,Place of event,Others present/aware,Opioids Stimulants Other
2009,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,Accident,Total,0,0,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,Suicide,Total,0,0,,,,,
2009,Nova Scotia,Q1,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q2,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q3,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q4,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Male,0,0,,,,,
2009,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Female,0,0,,,,,
2009,Central,All,,,Z drug,All manners,Total,1,0.2,,,,,
2009,Eastern,All,,,Z drug,All manners,Total,0,0,,,,,
2009,Northern,All,,,Z drug,All manners,Total,0,0,,,,,
2009,Western,All,,,Z drug,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Z drug,All manners,Total,1,0.1,,,,,
2009,Nova Scotia,All,,,Z drug,Accident,Total,0,0,,,,,
2009,Nova Scotia,All,,,Z drug,Suicide,Total,1,0.1,,,,,
2009,Nova Scotia,Q1,,,Z drug,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q2,,,Z drug,All manners,Total,1,0.4,,,,,
2009,Nova Scotia,Q3,,,Z drug,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q4,,,Z drug,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Z drug,All manners,Male,1,0.2,,,,,
2009,Nova Scotia,All,,,Z drug,All manners,Female,0,0,,,,,
2009,Central,All,,,Antidepressant,All manners,Total,7,1.7,,,,,
2009,Eastern,All,,,Antidepressant,All manners,Total,6,3.6,,,,,
2009,Northern,All,,,Antidepressant,All manners,Total,5,3.3,,,,,
2009,Western,All,,,Antidepressant,All manners,Total,5,2.5,,,,,
2009,Nova Scotia,All,,,Antidepressant,All manners,Total,23,2.5,,,,,
2009,Nova Scotia,All,,,Antidepressant,Accident,Total,5,0.5,,,,,
2009,Nova Scotia,All,,,Antidepressant,Suicide,Total,17,1.8,,,,,
2009,Nova Scotia,Q1,,,Antidepressant,All manners,Total,5,2.1,,,,,
2009,Nova Scotia,Q2,,,Antidepressant,All manners,Total,5,2.1,,,,,
2009,Nova Scotia,Q3,,,Antidepressant,All manners,Total,8,3.4,,,,,
2009,Nova Scotia,Q4,,,Antidepressant,All manners,Total,5,2.1,,,,,
2009,Nova Scotia,All,,,Antidepressant,All manners,Male,12,2.6,,,,,
2009,Nova Scotia,All,,,Antidepressant,All manners,Female,11,2.3,,,,,
2009,Central,All,,,Cocaine,All manners,Total,10,2.4,,,,,
2009,Eastern,All,,,Cocaine,All manners,Total,4,2.4,,,,,
2009,Northern,All,,,Cocaine,All manners,Total,3,2,,,,,
2009,Western,All,,,Cocaine,All manners,Total,2,1,,,,,
2009,Nova Scotia,All,,,Cocaine,All manners,Total,19,2,,,,,
2009,Nova Scotia,All,,,Cocaine,Accident,Total,18,1.9,,,,,
2009,Nova Scotia,All,,,Cocaine,Suicide,Total,1,0.1,,,,,
2009,Nova Scotia,Q1,,,Cocaine,All manners,Total,4,1.7,,,,,
2009,Nova Scotia,Q2,,,Cocaine,All manners,Total,2,0.9,,,,,
2009,Nova Scotia,Q3,,,Cocaine,All manners,Total,8,3.4,,,,,
2009,Nova Scotia,Q4,,,Cocaine,All manners,Total,5,2.1,,,,,
2009,Nova Scotia,All,,,Cocaine,All manners,Male,15,3.3,,,,,
2009,Nova Scotia,All,,,Cocaine,All manners,Female,4,0.8,,,,,
2009,Central,All,,,Methamphetamine,All manners,Total,1,0.2,,,,,
2009,Eastern,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2009,Northern,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2009,Western,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Methamphetamine,All manners,Total,1,0.1,,,,,
2009,Nova Scotia,All,,,Methamphetamine,Accident,Total,1,0.1,,,,,
2009,Nova Scotia,All,,,Methamphetamine,Suicide,Total,0,0,,,,,
2009,Nova Scotia,Q1,,,Methamphetamine,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q2,,,Methamphetamine,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q3,,,Methamphetamine,All manners,Total,1,0.4,,,,,
2009,Nova Scotia,Q4,,,Methamphetamine,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Methamphetamine,All manners,Male,1,0.2,,,,,
2009,Nova Scotia,All,,,Methamphetamine,All manners,Female,0,0,,,,,
2009,Central,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2009,Eastern,All,,,Stimulant - other,All manners,Total,1,0.6,,,,,
2009,Northern,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2009,Western,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Stimulant - other,All manners,Total,1,0.1,,,,,
2009,Nova Scotia,All,,,Stimulant - other,Accident,Total,1,0.1,,,,,
2009,Nova Scotia,All,,,Stimulant - other,Suicide,Total,0,0,,,,,
2009,Nova Scotia,Q1,,,Stimulant - other,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q2,,,Stimulant - other,All manners,Total,1,0.4,,,,,
2009,Nova Scotia,Q3,,,Stimulant - other,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q4,,,Stimulant - other,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Stimulant - other,All manners,Male,1,0.2,,,,,
2009,Nova Scotia,All,,,Stimulant - other,All manners,Female,0,0,,,,,
2009,Central,All,,,Gabapentinoid,All manners,Total,1,0.2,,,,,
2009,Eastern,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2009,Northern,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2009,Western,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2009,Nova Scotia,All,,,Gabapentinoid,All manners,Total,1,0.1,,,,,
2009,Nova Scotia,All,,,Gabapentinoid,Accident,Total,0,0,,,,,
2009,Nova Scotia,All,,,Gabapentinoid,Suicide,Total,1,0.1,,,,,
2009,Nova Scotia,Q1,,,Gabapentinoid,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q2,,,Gabapentinoid,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q3,,,Gabapentinoid,All manners,Total,0,0,,,,,
2009,Nova Scotia,Q4,,,Gabapentinoid,All manners,Total,1,0.4,,,,,
2009,Nova Scotia,All,,,Gabapentinoid,All manners,Male,1,0.2,,,,,
2009,Nova Scotia,All,,,Gabapentinoid,All manners,Female,0,0,,,,,
2009,Central,All,,,Ethanol,All manners,Total,12,2.9,,,,,
2009,Eastern,All,,,Ethanol,All manners,Total,9,5.3,,,,,
2009,Northern,All,,,Ethanol,All manners,Total,3,2,,,,,
2009,Western,All,,,Ethanol,All manners,Total,6,3,,,,,
2009,Nova Scotia,All,,,Ethanol,All manners,Total,30,3.2,,,,,
2009,Nova Scotia,All,,,Ethanol,Accident,Total,22,2.3,,,,,
2009,Nova Scotia,All,,,Ethanol,Suicide,Total,8,0.9,,,,,
2009,Nova Scotia,Q1,,,Ethanol,All manners,Total,4,1.7,,,,,
2009,Nova Scotia,Q2,,,Ethanol,All manners,Total,4,1.7,,,,,
2009,Nova Scotia,Q3,,,Ethanol,All manners,Total,10,4.3,,,,,
2009,Nova Scotia,Q4,,,Ethanol,All manners,Total,12,5.1,,,,,
2009,Nova Scotia,All,,,Ethanol,All manners,Male,23,5,,,,,
2009,Nova Scotia,All,,,Ethanol,All manners,Female,7,1.5,,,,,
2009,Central,All,,,Total - all substances,All manners,Total,36,8.7,,,,,
2009,Eastern,All,,,Total - all substances,All manners,Total,30,17.8,,,,,
2009,Northern,All,,,Total - all substances,All manners,Total,14,9.2,,,,,
2009,Western,All,,,Total - all substances,All manners,Total,21,10.4,,,,,
2009,Nova Scotia,All,,,Total - all substances,All manners,Total,103,11,,,,,
2009,Nova Scotia,All,,,Total - all substances,Accident,Total,65,6.9,,,,,
2009,Nova Scotia,All,,,Total - all substances,Suicide,Total,37,3.9,,,,,
2009,Nova Scotia,Q1,,,Total - all substances,All manners,Total,21,9,,,,,
2009,Nova Scotia,Q2,,,Total - all substances,All manners,Total,22,9.4,,,,,
2009,Nova Scotia,Q3,,,Total - all substances,All manners,Total,35,14.9,,,,,
2009,Nova Scotia,Q4,,,Total - all substances,All manners,Total,25,10.7,,,,,
2009,Nova Scotia,All,,,Total - all substances,All manners,Male,69,15.1,,,,,
2009,Nova Scotia,All,,,Total - all substances,All manners,Female,34,7.1,,,,,
2009,Central,All,,,Nonpharmaceutical drug (any),All manners,Total,10,2.4,,,,,
2009,Eastern,All,,,Nonpharmaceutical drug (any),All manners,Total,4,2.4,,,,,
2009,Northern,All,,,Nonpharmaceutical drug (any),All manners,Total,3,2,,,,,
2009,Western,All,,,Nonpharmaceutical drug (any),All manners,Total,2,1,,,,,
2009,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Total,19,2,,,,,
2009,Nova Scotia,All,,,Nonpharmaceutical drug (any),Accident,Total,18,1.9,,,,,
2009,Nova Scotia,All,,,Nonpharmaceutical drug (any),Suicide,Total,1,0.1,,,,,
2009,Nova Scotia,Q1,,,Nonpharmaceutical drug (any),All manners,Total,4,1.7,,,,,
2009,Nova Scotia,Q2,,,Nonpharmaceutical drug (any),All manners,Total,2,0.9,,,,,
2009,Nova Scotia,Q3,,,Nonpharmaceutical drug (any),All manners,Total,8,3.4,,,,,
2009,Nova Scotia,Q4,,,Nonpharmaceutical drug (any),All manners,Total,5,2.1,,,,,
2009,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Male,14,3.1,,,,,
2009,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Female,4,0.8,,,,,
2010,Central,All,,,Opioid - total,All manners,Total,20,4.8,,,,,
2010,Eastern,All,,,Opioid - total,All manners,Total,11,6.5,,,,,
2010,Northern,All,,,Opioid - total,All manners,Total,7,4.6,,,,,
2010,Western,All,,,Opioid - total,All manners,Total,11,5.5,,,,,
2010,Nova Scotia,All,,,Opioid - total,All manners,Total,50,5.3,,,,,
2010,Nova Scotia,All,,,Opioid - total,Accident,Total,44,4.7,,,,,
2010,Nova Scotia,All,,,Opioid - total,Suicide,Total,5,0.5,,,,,
2010,Nova Scotia,Q1,,,Opioid - total,All manners,Total,14,5.9,,,,,
2010,Nova Scotia,Q2,,,Opioid - total,All manners,Total,6,2.5,,,,,
2010,Nova Scotia,Q3,,,Opioid - total,All manners,Total,13,5.5,,,,,
2010,Nova Scotia,Q4,,,Opioid - total,All manners,Total,17,7.2,,,,,
2010,Nova Scotia,All,,,Opioid - total,All manners,Male,35,7.6,,,,,
2010,Nova Scotia,All,,,Opioid - total,All manners,Female,15,3.1,,,,,
2010,Central,All,,,Opioid - pharmaceutical,All manners,Total,20,4.8,,,,,
2010,Eastern,All,,,Opioid - pharmaceutical,All manners,Total,11,6.5,,,,,
2010,Northern,All,,,Opioid - pharmaceutical,All manners,Total,7,4.6,,,,,
2010,Western,All,,,Opioid - pharmaceutical,All manners,Total,11,5.5,,,,,
2010,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Total,50,5.3,,,,,
2010,Nova Scotia,All,,,Opioid - pharmaceutical,Accident,Total,44,4.7,,,,,
2010,Nova Scotia,All,,,Opioid - pharmaceutical,Suicide,Total,5,0.5,,,,,
2010,Nova Scotia,Q1,,,Opioid - pharmaceutical,All manners,Total,14,5.9,,,,,
2010,Nova Scotia,Q2,,,Opioid - pharmaceutical,All manners,Total,6,2.5,,,,,
2010,Nova Scotia,Q3,,,Opioid - pharmaceutical,All manners,Total,13,5.5,,,,,
2010,Nova Scotia,Q4,,,Opioid - pharmaceutical,All manners,Total,17,7.2,,,,,
2010,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Male,35,7.6,,,,,
2010,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Female,15,3.1,,,,,
2010,Central,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Eastern,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Northern,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Western,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Opioid - nonpharmaceutical,Accident,Total,0,0,,,,,
2010,Nova Scotia,All,,,Opioid - nonpharmaceutical,Suicide,Total,0,0,,,,,
2010,Nova Scotia,Q1,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q2,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q3,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q4,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Male,0,0,,,,,
2010,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Female,0,0,,,,,
2010,Central,All,,,Benzodiazepine - pharmaceutical,All manners,Total,17,4,,,,,
2010,Eastern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,8,4.8,,,,,
2010,Northern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,6,3.9,,,,,
2010,Western,All,,,Benzodiazepine - pharmaceutical,All manners,Total,6,3,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Total,37,3.9,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Accident,Total,27,2.9,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Suicide,Total,9,1,,,,,
2010,Nova Scotia,Q1,,,Benzodiazepine - pharmaceutical,All manners,Total,10,4.2,,,,,
2010,Nova Scotia,Q2,,,Benzodiazepine - pharmaceutical,All manners,Total,7,3,,,,,
2010,Nova Scotia,Q3,,,Benzodiazepine - pharmaceutical,All manners,Total,9,3.8,,,,,
2010,Nova Scotia,Q4,,,Benzodiazepine - pharmaceutical,All manners,Total,11,4.7,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Male,25,5.4,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Female,12,2.5,,,,,
2010,Central,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Eastern,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Northern,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Western,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,Accident,Total,0,0,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,Suicide,Total,0,0,,,,,
2010,Nova Scotia,Q1,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q2,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q3,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q4,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Male,0,0,,,,,
2010,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Female,0,0,,,,,
2010,Central,All,,,Z drug,All manners,Total,1,0.2,,,,,
2010,Eastern,All,,,Z drug,All manners,Total,0,0,,,,,
2010,Northern,All,,,Z drug,All manners,Total,1,0.7,,,,,
2010,Western,All,,,Z drug,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Z drug,All manners,Total,2,0.2,,,,,
2010,Nova Scotia,All,,,Z drug,Accident,Total,0,0,,,,,
2010,Nova Scotia,All,,,Z drug,Suicide,Total,2,0.2,,,,,
2010,Nova Scotia,Q1,,,Z drug,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q2,,,Z drug,All manners,Total,1,0.4,,,,,
2010,Nova Scotia,Q3,,,Z drug,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q4,,,Z drug,All manners,Total,1,0.4,,,,,
2010,Nova Scotia,All,,,Z drug,All manners,Male,2,0.4,,,,,
2010,Nova Scotia,All,,,Z drug,All manners,Female,0,0,,,,,
2010,Central,All,,,Antidepressant,All manners,Total,5,1.2,,,,,
2010,Eastern,All,,,Antidepressant,All manners,Total,4,2.4,,,,,
2010,Northern,All,,,Antidepressant,All manners,Total,1,0.7,,,,,
2010,Western,All,,,Antidepressant,All manners,Total,2,1,,,,,
2010,Nova Scotia,All,,,Antidepressant,All manners,Total,12,1.3,,,,,
2010,Nova Scotia,All,,,Antidepressant,Accident,Total,4,0.4,,,,,
2010,Nova Scotia,All,,,Antidepressant,Suicide,Total,8,0.8,,,,,
2010,Nova Scotia,Q1,,,Antidepressant,All manners,Total,6,2.5,,,,,
2010,Nova Scotia,Q2,,,Antidepressant,All manners,Total,2,0.8,,,,,
2010,Nova Scotia,Q3,,,Antidepressant,All manners,Total,2,0.8,,,,,
2010,Nova Scotia,Q4,,,Antidepressant,All manners,Total,2,0.8,,,,,
2010,Nova Scotia,All,,,Antidepressant,All manners,Male,6,1.3,,,,,
2010,Nova Scotia,All,,,Antidepressant,All manners,Female,6,1.2,,,,,
2010,Central,All,,,Cocaine,All manners,Total,4,1,,,,,
2010,Eastern,All,,,Cocaine,All manners,Total,1,0.6,,,,,
2010,Northern,All,,,Cocaine,All manners,Total,0,0,,,,,
2010,Western,All,,,Cocaine,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Cocaine,All manners,Total,5,0.5,,,,,
2010,Nova Scotia,All,,,Cocaine,Accident,Total,5,0.5,,,,,
2010,Nova Scotia,All,,,Cocaine,Suicide,Total,0,0,,,,,
2010,Nova Scotia,Q1,,,Cocaine,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q2,,,Cocaine,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q3,,,Cocaine,All manners,Total,1,0.4,,,,,
2010,Nova Scotia,Q4,,,Cocaine,All manners,Total,4,1.7,,,,,
2010,Nova Scotia,All,,,Cocaine,All manners,Male,5,1.1,,,,,
2010,Nova Scotia,All,,,Cocaine,All manners,Female,0,0,,,,,
2010,Central,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Eastern,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Northern,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Western,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Methamphetamine,Accident,Total,0,0,,,,,
2010,Nova Scotia,All,,,Methamphetamine,Suicide,Total,0,0,,,,,
2010,Nova Scotia,Q1,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q2,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q3,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q4,,,Methamphetamine,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Methamphetamine,All manners,Male,0,0,,,,,
2010,Nova Scotia,All,,,Methamphetamine,All manners,Female,0,0,,,,,
2010,Central,All,,,Stimulant - other,All manners,Total,1,0.2,,,,,
2010,Eastern,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2010,Northern,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2010,Western,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Stimulant - other,All manners,Total,1,0.1,,,,,
2010,Nova Scotia,All,,,Stimulant - other,Accident,Total,1,0.1,,,,,
2010,Nova Scotia,All,,,Stimulant - other,Suicide,Total,0,0,,,,,
2010,Nova Scotia,Q1,,,Stimulant - other,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q2,,,Stimulant - other,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q3,,,Stimulant - other,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q4,,,Stimulant - other,All manners,Total,1,0.4,,,,,
2010,Nova Scotia,All,,,Stimulant - other,All manners,Male,1,0.2,,,,,
2010,Nova Scotia,All,,,Stimulant - other,All manners,Female,0,0,,,,,
2010,Central,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2010,Eastern,All,,,Gabapentinoid,All manners,Total,1,0.6,,,,,
2010,Northern,All,,,Gabapentinoid,All manners,Total,1,0.7,,,,,
2010,Western,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Gabapentinoid,All manners,Total,2,0.2,,,,,
2010,Nova Scotia,All,,,Gabapentinoid,Accident,Total,1,0.1,,,,,
2010,Nova Scotia,All,,,Gabapentinoid,Suicide,Total,1,0.1,,,,,
2010,Nova Scotia,Q1,,,Gabapentinoid,All manners,Total,2,0.8,,,,,
2010,Nova Scotia,Q2,,,Gabapentinoid,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q3,,,Gabapentinoid,All manners,Total,0,0,,,,,
2010,Nova Scotia,Q4,,,Gabapentinoid,All manners,Total,0,0,,,,,
2010,Nova Scotia,All,,,Gabapentinoid,All manners,Male,1,0.2,,,,,
2010,Nova Scotia,All,,,Gabapentinoid,All manners,Female,1,0.2,,,,,
2010,Central,All,,,Ethanol,All manners,Total,9,2.1,,,,,
2010,Eastern,All,,,Ethanol,All manners,Total,8,4.8,,,,,
2010,Northern,All,,,Ethanol,All manners,Total,6,3.9,,,,,
2010,Western,All,,,Ethanol,All manners,Total,6,3,,,,,
2010,Nova Scotia,All,,,Ethanol,All manners,Total,29,3.1,,,,,
2010,Nova Scotia,All,,,Ethanol,Accident,Total,25,2.7,,,,,
